County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Lancaster County,Virginia,7.8,0.31
Steuben County,New York,10.3,0.31
Broome County,New York,9.9,0.31
Franklin County,Mississippi,9.2,0.31
Dickinson County,Iowa,6.6,0.31
Bucks County,Pennsylvania,7,0.31
Merrimack County,New Hampshire,6.9,0.31
Monmouth County,New Jersey,7.6,0.31
Greene County,Ohio,9.2,0.31
Yates County,New York,9,0.31
Wells County,Indiana,8.6,0.31
Decatur County,Indiana,8.8,0.31
Choctaw County,Mississippi,10.7,0.31
Scott County,Illinois,7.2,0.31
Carter County,Kentucky,9.6,0.31
Tensas Parish,Louisiana,8.4,0.31
Adams County,Illinois,7.9,0.31
Pike County,Georgia,8.9,0.31
Christian County,Illinois,7.2,0.31
Vanderburgh County,Indiana,10.7,0.31
Dallas County,Alabama,12.3,0.31
Middlesex County,Connecticut,7.2,0.31
Warrick County,Indiana,9.2,0.31
Taylor County,West Virginia,11.1,0.32
Greensville County,Virginia,11,0.32
Ozaukee County,Wisconsin,6.4,0.32
Pendleton County,West Virginia,9.8,0.32
Russell County,Virginia,9.9,0.32
Iowa County,Wisconsin,6.9,0.32
Ashland County,Ohio,7.7,0.32
Marshall County,West Virginia,11.3,0.32
Fayette County,Ohio,10.5,0.32
Butler County,Ohio,10.4,0.32
Wayne County,Mississippi,9.9,0.32
Belknap County,New Hampshire,7.7,0.32
Warren County,Pennsylvania,7.4,0.32
Muskingum County,Ohio,11.4,0.32
Lawrence County,Mississippi,10.2,0.32
Cumberland County,Maine,6.7,0.32
Tate County,Mississippi,10.1,0.32
Delaware County,Indiana,9.3,0.32
Montgomery County,Alabama,15,0.32
Lafayette County,Mississippi,9.1,0.32
York County,Maine,8.3,0.32
Jessamine County,Kentucky,7.3,0.32
Warren County,Iowa,7.5,0.32
Republic County,Kansas,8.2,0.32
Jo Daviess County,Illinois,7.3,0.32
Hart County,Georgia,7.5,0.32
Stark County,Illinois,7.1,0.32
Montgomery County,Illinois,7.5,0.32
Richland County,Illinois,7.1,0.32
Harrison County,Kentucky,7.6,0.32
Honolulu County,Hawaii,9.1,0.32
Wayne County,Illinois,7.3,0.32
Knox County,Kentucky,9.6,0.32
Wilcox County,Georgia,8.4,0.32
Randolph County,West Virginia,9.1,0.33
Scott County,Virginia,10,0.33
Hancock County,West Virginia,10.9,0.33
Giles County,Virginia,7.7,0.33
Grayson County,Virginia,8.1,0.33
Seneca County,Ohio,9.6,0.33
Allen County,Ohio,11.7,0.33
Wyandot County,Ohio,7.7,0.33
Wood County,Ohio,10.2,0.33
Franklin County,Ohio,10.2,0.33
Brown County,Ohio,9.1,0.33
Clay County,Mississippi,13.4,0.33
Chester County,Pennsylvania,6.5,0.33
Meigs County,Ohio,10.9,0.33
Sussex County,New Jersey,7.8,0.33
Noxubee County,Mississippi,11.7,0.33
Yalobusha County,Mississippi,9.8,0.33
Bradford County,Pennsylvania,8.4,0.33
Oakland County,Michigan,6.8,0.33
Marion County,Ohio,11.8,0.33
Union County,Mississippi,7.5,0.33
Carroll County,Maryland,8.2,0.33
Irwin County,Georgia,9.5,0.33
Warren County,New York,9,0.33
Gloucester County,New Jersey,9.1,0.33
Brown County,Minnesota,9.4,0.33
Moultrie County,Illinois,7,0.33
Fulton County,New York,9.7,0.33
Desoto County,Mississippi,13.1,0.33
Lowndes County,Mississippi,10.1,0.33
Whitley County,Kentucky,9.8,0.33
Jefferson County,Georgia,10,0.33
Carroll County,Iowa,7.2,0.33
Tipton County,Indiana,8.5,0.33
Monroe County,Indiana,8.3,0.33
Lagrange County,Indiana,8.8,0.33
Iowa County,Iowa,7.9,0.33
Washington County,Indiana,9.5,0.33
Macomb County,Michigan,9.2,0.33
Greene County,Illinois,6.9,0.33
Grant County,Kentucky,9.1,0.33
Oconee County,Georgia,7.5,0.33
Powell County,Kentucky,7.5,0.33
Boone County,Indiana,7.8,0.33
Hale County,Alabama,9.8,0.33
Jasper County,Illinois,7.2,0.33
Berkeley County,West Virginia,10.6,0.34
Pleasants County,West Virginia,7.9,0.34
Campbell County,Tennessee,9.1,0.34
Waukesha County,Wisconsin,7.3,0.34
Grant County,Wisconsin,7,0.34
Hancock County,Tennessee,7.1,0.34
Mercer County,Ohio,8.2,0.34
Ballard County,Kentucky,7.3,0.34
Hillsborough County,New Hampshire,7.5,0.34
Cheshire County,New Hampshire,6.9,0.34
Bristol County,Rhode Island,6.7,0.34
Huron County,Ohio,10.1,0.34
Williams County,Ohio,8.7,0.34
Franklin County,Pennsylvania,7.6,0.34
Plymouth County,Massachusetts,5.9,0.34
Jefferson County,Missouri,10.6,0.34
Warren County,Kentucky,9,0.34
Menard County,Illinois,7.3,0.34
Lewis County,New York,10.4,0.34
Hampshire County,Massachusetts,6.3,0.34
Macon County,Alabama,11.1,0.34
Boyle County,Kentucky,8.1,0.34
Hendricks County,Indiana,9.7,0.34
Henry County,Illinois,7.4,0.34
Stephenson County,Illinois,8.2,0.34
Johnson County,Indiana,10,0.34
Harrison County,Indiana,8.3,0.34
Worth County,Georgia,9,0.34
Mercer County,Kentucky,7.9,0.34
