No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
17171,Scott County,Illinois,6.8,6.7
31093,Howard County,Nebraska,5.4,6.7
21169,Metcalfe County,Kentucky,7,6.7
06091,Sierra County,California,6.6,6.7
17159,Richland County,Illinois,5.3,6.7
21139,Livingston County,Kentucky,13,6.7
17131,Mercer County,Illinois,7.7,6.7
51800,Suffolk City,Virginia,11.5,6.8
51149,Prince George County,Virginia,11.1,6.8
42023,Cameron County,Pennsylvania,9,6.8
51678,Lexington City,Virginia,6.7,6.8
53067,Thurston County,Washington,7.1,6.8
55059,Kenosha County,Wisconsin,7.4,6.8
54003,Berkeley County,West Virginia,9.8,6.8
54039,Kanawha County,West Virginia,10,6.8
42043,Dauphin County,Pennsylvania,7.6,6.8
38091,Steele County,North Dakota,7,6.8
27107,Norman County,Minnesota,9,6.8
42061,Huntingdon County,Pennsylvania,8.8,6.8
21007,Ballard County,Kentucky,10.4,6.8
27089,Marshall County,Minnesota,8.3,6.8
22093,St. James Parish,Louisiana,10.7,6.8
31007,Banner County,Nebraska,9.6,6.8
27051,Grant County,Minnesota,5.1,6.8
21221,Trigg County,Kentucky,10.9,6.8
26039,Crawford County,Michigan,11.4,6.8
27127,Redwood County,Minnesota,6.4,6.8
17163,St. Clair County,Illinois,10.7,6.8
23031,York County,Maine,6.6,6.8
21167,Mercer County,Kentucky,7.7,6.8
24043,Washington County,Maryland,9.4,6.8
17157,Randolph County,Illinois,9.5,6.8
17137,Morgan County,Illinois,6,6.8
17193,White County,Illinois,9.3,6.8
21033,Caldwell County,Kentucky,15.4,6.8
21131,Leslie County,Kentucky,13.2,6.8
17021,Christian County,Illinois,8.7,6.8
27115,Pine County,Minnesota,6.6,6.8
21081,Grant County,Kentucky,13.9,6.8
17195,Whiteside County,Illinois,13,6.8
21151,Madison County,Kentucky,7.5,6.8
27057,Hubbard County,Minnesota,6,6.8
21205,Rowan County,Kentucky,7.2,6.8
